"UTM Source","UTM Medium","UTM Campaign","UTM Content","UTM Term","Конверсия ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Достижения цели ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Целевые визиты ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Доход по цели ([PRO] Рега на марафон запуск 2 - JS Отправка формы), RUB","Целевые посетители ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Роботность ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Отказы ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Глубина просмотра ([PRO] Рега на марафон запуск 2 - JS Отправка формы)","Время на сайте ([PRO] Рега на марафон запуск 2 - JS Отправка формы)"
"Итого и средние","","","","","0.3874634179541278","5812","5693","0.0","5608","0.0","1.756543123133673E-4","4.986825926576498","00:02:36"
"vk_market","Не определено","Не определено","Не определено","Не определено","0.3476465730800991","428","421","0.0","420","0.0","0.0","5.0736342042755345","00:02:49"
"vk","Не определено","Не определено","Не определено","Не определено","0.36892278360343184","393","387","0.0","387","0.0","0.0","3.8165374677002584","00:02:10"
"vk","Orange","1030079205","176752689","Не определено","0.3155737704918033","79","77","0.0","77","0.0","0.012987012987012986","5.0519480519480515","00:02:46"
"vk_market","Orange","gr_1","t43.4_k40","Не определено","0.48611111111111105","70","70","0.0","70","0.0","0.0","4.828571428571428","00:02:01"
"vk","Orange","zakrep","Не определено","Не определено","0.3457446808510639","68","65","0.0","64","0.0","0.0","5.2153846153846155","00:02:37"
"vk_market","Orange","gr_1","t26_k76","Не определено","0.4682539682539682","59","59","0.0","59","0.0","0.0","4.915254237288136","00:02:32"
"vk_market","Orange","gr_1","t5_k26.1","Не определено","0.5280898876404494","49","47","0.0","47","0.0","0.0","4.659574468085107","00:01:47"
"youtube","Video46","negov","Не определено","Не определено","0.24691358024691357","40","40","0.0","40","0.0","0.0","5.275","00:03:11"
"vk","Orange","1030005669","175678074","Не определено","0.2706766917293233","38","36","0.0","36","0.0","0.0","6.055555555555555","00:02:44"
"vk","Orange","1030120724","177426350","Не определено","0.47297297297297297","35","35","0.0","35","0.0","0.0","4.828571428571428","00:02:42"
"vk_market","Orange","gr_9","t43.4_k40","Не определено","0.5074626865671642","34","34","0.0","34","0.0","0.0","5.088235294117647","00:01:51"
"vk_market","Orange","gr_35","t43.4_k40","Не определено","0.49230769230769234","33","32","0.0","32","0.0","0.0","5.59375","00:03:05"
"vk_market","Orange","gr_9","t26_k76","Не определено","0.4705882352941176","33","32","0.0","31","0.0","0.0","5.46875","00:03:36"
"vk_market","Orange","gr_40","t57_k34","Не определено","0.37142857142857144","27","26","0.0","26","0.0","0.0","5.461538461538462","00:02:11"
"vk_market","Orange","gr_22","t43.4_k40","Не определено","0.3472222222222222","28","25","0.0","24","0.0","0.0","6.04","00:03:47"
"vk","Orange","1030042300","176224498","Не определено","0.5217391304347826","24","24","0.0","24","0.0","0.0","4.25","00:02:16"
"vk","Orange","site","Не определено","Не определено","0.13548387096774195","22","21","0.0","21","0.0","0.0","4.0","00:01:33"
"vk_market","Orange","gr_29","t26_k76","Не определено","0.4375","21","21","0.0","21","0.0","0.0","6.0476190476190474","00:02:22"
"vk_market","Orange","gr_25","t28.4_k63","Не определено","0.3921568627450981","20","20","0.0","20","0.0","0.0","4.85","00:04:02"
"vk_market","Orange","gr_6","t5_k26.1","Не определено","0.3921568627450981","20","20","0.0","20","0.0","0.0","4.95","00:03:29"
"vk","Orange","1030113374","177301848","Не определено","0.5277777777777778","19","19","0.0","19","0.0","0.0","3.789473684210526","00:01:53"
"vk","Orange","1030113847","177311244","Не определено","0.4634146341463415","21","19","0.0","19","0.0","0.0","4.947368421052632","00:03:43"
"vk_market","Orange","gr_2","t26_k76","Не определено","0.4318181818181818","19","19","0.0","19","0.0","0.0","5.0","00:03:21"
"vk_market","Orange","gr_6","t43.4_k40","Не определено","0.3114754098360656","19","19","0.0","19","0.0","0.0","4.7894736842105265","00:02:39"
"vk","Orange","info","Не определено","Не определено","0.13432835820895522","18","18","0.0","18","0.0","0.0","4.055555555555555","00:03:22"
"vk_market","Orange","gr_2","t28.4_k63","Не определено","0.3829787234042554","18","18","0.0","18","0.0","0.0","4.833333333333333","00:02:21"
"vk_market","Orange","gr_2","t43.4_k40","Не определено","0.3090909090909091","17","17","0.0","17","0.0","0.0","5.352941176470588","00:02:57"
"vk_market","Orange","gr_44","t43.4_k40","Не определено","0.34","17","17","0.0","17","0.0","0.0","5.823529411764706","00:02:09"
"vk_market","Orange","gr_5","t28.4_k63","Не определено","0.4473684210526316","17","17","0.0","17","0.0","0.0","5.117647058823529","00:02:17"
"vk","Orange","1029934803","174665158","Не определено","0.5161290322580645","16","16","0.0","16","0.0","0.0","6.0625","00:03:15"
"vk","Orange","1030031544","176068175","Не определено","0.64","17","16","0.0","16","0.0","0.0","4.375","00:01:38"
"vk_market","Orange","gr_20","t28.4_k63","Не определено","0.64","16","16","0.0","16","0.0","0.0","5.0","00:03:41"
"vk_market","Orange","gr_37","t43.4_k40","Не определено","0.64","16","16","0.0","16","0.0","0.0","5.5625","00:03:16"
"vk_market","Orange","gr_44","t26_k76","Не определено","0.5333333333333333","16","16","0.0","16","0.0","0.0","7.8125","00:02:54"
