Дата;Клиент;ID клиента;Кампания;ID кампании;Запись;ID записи;Потрачено, руб.;Выполненные заявки;Переходы по ссылкам; Вступления; Охват; Охват подписчиков;Отметки «Нравится»;Поделилось;Комментарии
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_67;4860965;1285;1;14;0;7353;5573;12;3;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_64;4860954;171;1;0;0;347;328;5;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_63;4861005;514;1;10;0;4271;4177;5;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_60;4847794;1714;1;15;0;9055;8201;11;1;1
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_58;4847771;171;1;1;0;1168;951;0;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_51;4847734;2228;1;32;0;1533;1525;7;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_50;4844499;1714;1;17;0;1881;1693;8;1;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_49;4844497;342;1;1;0;0;0;4;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t17_k18 group_47;4844509;257;1;2;0;1813;1737;2;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_41;4844475;308;1;1;0;4462;3609;5;1;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_40;4837016;375;1;6;0;2462;2397;5;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_36;4836998;857;1;4;0;1489;1386;0;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_23;4820941;908;1;1;0;2037;1861;0;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_43;4844527;1842;1;11;0;5962;5512;11;1;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_24;4820952;514;1;3;0;2745;2549;4;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_37;4836977;291;1;5;0;1870;1790;7;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_32;4837005;437;1;5;0;5376;5376;5;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_28;4820924;497;1;3;0;4050;3951;1;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_21;4820939;788;1;10;0;3581;3281;3;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t17_k18 group_20;4820871;1028;1;7;0;4008;3957;6;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_16;4820854;651;1;4;0;3159;3115;3;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_13;4820885;1714;1;8;0;3785;3720;19;0;1
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_47;4844534;257;1;9;0;2441;2433;2;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t20.1_k16 group_9;4820647;617;1;3;0;3191;3067;5;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_7;4820571;857;1;5;0;2171;2044;55;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_3;4820567;857;1;25;0;5510;5290;14;1;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_1;4820551;514;1;4;0;1538;1362;2;0;1
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t17_k18 group_14;4820862;514;1;21;0;2605;2345;11;0;0
2024-02-01;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t17_k17 group_44;4844632;240;1;0;0;1285;1203;1;1;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_66;4860963;1541;1;37;0;13234;12465;14;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_59;4847772;444;1;7;0;5317;5245;14;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_57;4847791;514;1;5;1;3724;3659;8;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_56;4847790;325;1;2;0;3361;3112;3;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_55;4847739;685;1;16;0;4291;4062;21;1;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_27;4820955;171;1;6;0;2449;2398;1;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_45;4844487;857;1;12;0;6477;6477;18;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t17_k18 group_42;4844503;428;1;1;0;5193;5032;2;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k2 group_39;4837014;171;1;14;0;5273;5225;3;0;1
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_37;4836999;291;1;6;0;2188;2141;10;1;2
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_30;4820928;255;1;1;0;1617;1580;5;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_18;4820880;788;1;8;0;3916;3838;10;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_11;4820849;771;1;9;0;4547;4346;6;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k1 group_12;4820874;840;1;22;0;7714;6274;8;0;0
2024-02-02;1906-274 Школа массажа;2003705404;ШВЗ;1340506;t9_k4 group_6;4820570;274;1;1;0;1953;1465;0;0;0
