Дата;Клиент;ID клиента;Кампания;ID кампании;Запись;ID записи;Потрачено, руб.;Выполненные заявки;Переходы по ссылкам; Вступления; Охват; Охват подписчиков;Отметки «Нравится»;Поделилось;Комментарии
01.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_10;4820623;480;1;6;0;4664;4602;4;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_25;4820933;1200;1;6;0;2687;2523;1;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_26;4820921;565;1;3;0;2775;2757;5;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_17;4820868;171;1;3;0;1237;1157;1;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_16;4820854;480;1;6;0;3492;3322;3;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k2 group_12;4820884;840;1;33;0;11302;10101;11;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_10;4820574;480;1;9;0;4133;4133;4;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_8;4820572;325;1;21;0;7111;6685;21;2;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_7;4820571;857;1;5;0;3461;3366;8;0;0
03.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_3;4820579;857;1;47;0;9918;9806;15;0;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_21;4820929;788;1;8;0;5031;4904;5;0;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_5;4820569;197;1;2;0;1856;1795;5;0;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_20;4820858;857;1;10;0;4662;4510;12;2;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_18;4820856;788;1;10;0;4357;4115;7;0;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_14;4820852;514;1;50;0;3806;3475;16;2;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_11;4820859;771;1;15;0;5956;5614;10;0;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_9;4820573;617;1;17;0;7825;7825;9;1;0
04.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t9_k4 group_4;4820568;514;1;13;0;6281;6281;3;0;0
05.01.2024;1906-274 Школа массажа;2003705404;Кампания по умолчанию;1340506;t17_k18 group_26;4820934;565;1;3;0;2573;2551;4;0;0
